start_time,end_time,count
2024-11-14 17:18:37.233020,2024-11-14 17:19:52.233020,1
2024-11-14 17:19:52.233020,2024-11-14 17:21:07.233020,2
2024-11-14 17:21:07.233020,2024-11-14 17:22:22.233020,1
2024-11-14 17:22:22.233020,2024-11-14 17:23:37.233020,4
